,SiteID,timestamp,Device,instance,idDataAttribute,description,code,formattedValue,rawValue
484,97384,1635951410,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
485,97448,1635950918,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
486,97501,1635807647,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
487,97501,1635807647,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
488,97608,1635951378,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
489,97608,1635951378,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
490,97934,1635951379,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
491,97934,1616334144,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
492,98094,1635951366,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
493,98094,1635951366,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
494,98211,1635951362,VE.Bus System,261,40,VE.Bus state,S,Bulk,3
495,98211,1635951362,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
496,98253,1635951404,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
497,98253,1635951404,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
498,98472,1635951107,VE.Bus System,261,40,VE.Bus state,S,Absorption,4
499,98472,1635951107,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
500,98472,1615278803,VE.Bus System,289,40,VE.Bus state,S,Inverting,9
501,98502,1635951386,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
502,98502,1635951386,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
503,99068,1635951390,VE.Bus System,261,40,VE.Bus state,S,Bulk,3
504,99068,1615816326,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
505,99068,1635951390,VE.Bus System,289,40,VE.Bus state,S,Inverting,9
506,99148,1635205697,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
507,99148,1635205697,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
508,99216,1635951391,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
509,99216,1617116559,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
510,99216,1635951391,VE.Bus System,289,40,VE.Bus state,S,Inverting,9
511,99283,1635951412,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
512,99283,1615718592,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
513,99283,1635951412,VE.Bus System,289,40,VE.Bus state,S,Inverting,9
514,99311,1628565035,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
515,99311,1622199955,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
516,99405,1635951376,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
517,99405,1635951376,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
518,99405,1615811819,VE.Bus System,289,40,VE.Bus state,S,Inverting,9
519,99482,1626221480,VE.Bus System,0,40,VE.Bus state,S,Inverting,9
520,99488,1634799716,VE.Bus System,261,40,VE.Bus state,S,Bulk,3
521,99488,1634799716,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
522,99648,1635951399,VE.Bus System,261,40,VE.Bus state,S,Bulk,3
523,99648,1635951399,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
524,99897,1635951341,VE.Bus System,261,40,VE.Bus state,S,Bulk,3
525,99897,1635951341,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
526,99945,1634808292,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
527,99945,1634808292,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
528,99945,1616060683,VE.Bus System,289,40,VE.Bus state,S,Inverting,9
529,100149,1635951409,VE.Bus System,261,40,VE.Bus state,S,Bulk,3
530,100149,1635951409,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
531,100253,1635951308,VE.Bus System,261,40,VE.Bus state,S,Bulk,3
532,100253,1635951308,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
533,100346,1635951361,VE.Bus System,261,40,VE.Bus state,S,Bulk,3
534,100346,1635951361,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
535,100357,1616413242,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
536,100357,1616413242,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
537,100357,1616244547,VE.Bus System,289,40,VE.Bus state,S,Inverting,9
538,100362,1635951383,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
539,100362,1635951383,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
540,100446,1635951407,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
541,100446,1635951407,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
542,100565,1635951403,VE.Bus System,261,40,VE.Bus state,S,Bulk,3
543,100565,1635951403,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
544,100570,1617110967,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
545,100570,1617110967,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
546,100907,1635951372,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
547,100907,1635951372,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
548,101036,1635951399,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
549,101036,1635951399,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
550,101144,1635950876,VE.Bus System,261,40,VE.Bus state,S,Bulk,3
551,101144,1635950876,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
552,101146,1635951379,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
553,101146,1635951379,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
554,101858,1617295777,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
555,101858,1617201445,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
556,102443,1635205576,VE.Bus System,261,40,VE.Bus state,S,Absorption,4
557,102443,1635205576,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
558,102703,1635951358,VE.Bus System,261,40,VE.Bus state,S,Absorption,4
559,102703,1635951358,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
560,102715,1635951108,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
561,102715,1635951108,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
562,102947,1635951410,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
563,102947,1635951410,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
564,103488,1635951323,VE.Bus System,261,40,VE.Bus state,S,Bulk,3
565,103488,1635951323,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
566,103521,1635951370,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
567,103521,1635951370,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
568,103847,1635951267,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
569,103847,1635951267,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
570,105893,1635951395,VE.Bus System,261,40,VE.Bus state,S,Absorption,4
571,105893,1635951395,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
572,106070,1635950541,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
573,106070,1635950541,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
574,106242,1634751440,VE.Bus System,261,40,VE.Bus state,S,Bulk,3
575,106242,1634751440,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
576,106763,1635951358,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
577,106763,1635951358,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
578,107804,1635951412,VE.Bus System,261,40,VE.Bus state,S,Bulk,3
579,107804,1635951412,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
580,108140,1623407962,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
581,108140,1623407962,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
582,108465,1635951412,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
583,108465,1635951412,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
584,108660,1635943002,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
585,108660,1635943002,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
586,108742,1635951378,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
587,108742,1635951378,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
588,108742,1621103076,VE.Bus System,289,40,VE.Bus state,S,Inverting,9
589,108786,1635951376,VE.Bus System,0,40,VE.Bus state,S,Bulk,3
590,108786,1635951376,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
591,108967,1626014176,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
592,108967,1621841808,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
593,108967,1626014176,VE.Bus System,289,40,VE.Bus state,S,Inverting,9
594,109874,1635951406,VE.Bus System,261,40,VE.Bus state,S,Bulk,3
595,109874,1635951406,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
596,110362,1635950989,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
597,110362,1635950989,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
598,110362,1622036505,VE.Bus System,289,40,VE.Bus state,S,Inverting,9
599,112002,1635951326,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
600,112002,1635951326,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
601,112017,1635431953,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
602,112017,1635431953,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
603,112049,1635951408,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
604,112049,1635951408,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
605,112811,1635819708,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
606,112811,1635819708,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
607,113823,1635951371,VE.Bus System,261,40,VE.Bus state,S,Bulk,3
608,113823,1635951371,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
609,114388,1635950814,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
610,114388,1635950814,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
611,114389,1635950967,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
612,114389,1635950967,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
613,114389,1635950967,VE.Bus System,289,40,VE.Bus state,S,Inverting,9
614,114407,1635951368,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
615,114407,1635951368,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
616,114435,1635951357,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
617,114435,1635951357,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
618,115550,1635950586,VE.Bus System,261,40,VE.Bus state,S,Float,5
619,115550,1635950586,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
620,116588,1635951089,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
621,116588,1635951089,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
622,116588,1634205634,VE.Bus System,289,40,VE.Bus state,S,Inverting,9
623,116713,1635950616,VE.Bus System,261,40,VE.Bus state,S,Float,5
624,116713,1635950616,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
625,116994,1635951406,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
626,116994,1635951406,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
627,116994,1625485337,VE.Bus System,289,40,VE.Bus state,S,Inverting,9
628,117886,1635951409,VE.Bus System,261,40,VE.Bus state,S,Bulk,3
629,117886,1635951409,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
630,117886,1625592134,VE.Bus System,289,40,VE.Bus state,S,Inverting,9
631,118000,1635951388,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
632,118000,1635951388,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
633,118000,1626003952,VE.Bus System,289,40,VE.Bus state,S,Inverting,9
634,119218,1635951005,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
635,119218,1635951005,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
636,120340,1635951088,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
637,120340,1635951088,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
638,120341,1635951081,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
639,120341,1635951081,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
640,120436,1635951389,VE.Bus System,261,40,VE.Bus state,S,Bulk,3
641,120436,1635951389,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
642,120443,1635951408,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
643,120443,1635951408,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
644,121501,1635205895,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
645,121501,1635205895,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
646,123088,1635951347,VE.Bus System,261,40,VE.Bus state,S,Absorption,4
647,124438,1629629440,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
648,124438,1629629440,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
649,124479,1634908053,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
650,124479,1634908053,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
651,125522,1635951354,VE.Bus System,261,40,VE.Bus state,S,Storage,6
652,125522,1635951354,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
653,126483,1635951037,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
654,126483,1633197606,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
655,127354,1635951302,VE.Bus System,261,40,VE.Bus state,S,Absorption,4
656,127354,1635951302,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
657,127661,1635951359,VE.Bus System,261,40,VE.Bus state,S,Bulk,3
658,127734,1635951408,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
659,127734,1635951408,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
660,129265,1633074375,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
661,129265,1633074375,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
662,129898,1632765289,VE.Bus System,261,40,VE.Bus state,S,Bulk,3
663,129898,1632765289,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
664,129913,1632850761,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
665,129913,1632850761,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
666,129933,1635859141,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
667,129933,1635859141,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
668,130051,1635950690,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
669,130051,1635950690,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
670,130128,1635951377,VE.Bus System,261,40,VE.Bus state,S,Bulk,3
671,130128,1635951377,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
672,130450,1635951412,VE.Bus System,261,40,VE.Bus state,S,Bulk,3
673,130450,1635951412,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
674,132095,1635951411,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
675,132095,1635951411,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
676,134655,1635081022,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
677,134655,1635081022,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
678,135719,1635773905,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
679,135719,1635773905,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
680,136071,1635950968,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
681,136071,1635950968,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
