,idSite,accessLevel,owner,is_admin,name,identifier,idUser,pvMax,timezone,phonenumber,notes,geofence,geofenceEnabled,realtimeUpdates,hasMains,hasGenerator,noDataAlarmTimeout,alarmMonitoring,invalidVRMAuthTokenUsedInLogRequest,syscreated,grafanaEnabled,shared,device_icon,datesubmited
440,32130,1,True,True,"UN0042_NE_Union Bank Kashere, Gombe",6064054fad4d,19965,0,UTC,,,,False,True,0,0,,1,0,1550667167,0,False,battery,
441,31098,1,True,True,"UN0043_SE_Union Udi, Enugu",606405073488,19965,0,Africa/Lagos,,,,False,True,0,1,,1,0,1548520557,0,False,solar,
442,42560,1,True,True,"UN0045_SW_Union Bank Admiralty Way, Lekki, Lagos",985dadcab77d,19965,0,Africa/Lagos,,,,False,True,1,1,,1,0,1566899751,0,False,solar,
443,34977,1,True,True,"UN0046_SS_Union Transamadi, Rivers",6064054fc0aa,19965,0,Africa/Lagos,08106372458,,,False,True,1,1,,1,0,1555515141,0,False,generator,
444,44420,1,True,True,UN0048_NC_MASAKA NASSARAWA,9884e38d3128,19965,0,UTC,,,,False,True,1,1,,1,0,1569352927,0,False,battery,
445,43856,1,True,True,UN0049_SS_UNION MARIAN CALABAR,6064050e1f70,19965,0,UTC,,,,False,True,1,1,,1,0,1568554607,0,False,generator,
446,48048,1,True,True,"UN0050_SE_UNION EKWULOBIA, ANAMBRA STATE",c4f31281b6cf,19965,0,UTC,08073468783,,,False,True,0,0,,1,0,1574009938,0,False,battery,
447,40802,1,True,True,UN0051_NW_Kanti Kwari Kano,985dadcb84f8,19965,0,UTC,,,,False,True,0,0,,2,0,1564400778,0,False,solar,
448,34765,1,True,True,"UN0053_SS_Union Bori, Rivers",6064054c6223,19965,0,Africa/Lagos,,,,False,True,1,1,,1,0,1555172413,0,False,battery,
449,38629,0,True,False,"UN0054_SS_Union Warri Main, Delta",6064055019b7,19965,0,Africa/Lagos,0810 088 5887,,,False,True,1,1,,1,0,1561121154,0,False,battery,
450,41160,1,True,True,UN0055_NC_Union MM Way Ilorin,6064054c8408,19965,0,Africa/Lagos,,,,False,True,0,0,,1,0,1564930238,0,False,grid,
451,43858,1,True,True,"UN0056_SW_Union Bank Badagry, Lagos",6064054ce610,19965,0,UTC,09011502810,,,False,True,0,0,,1,0,1568559420,0,False,generator,
452,50693,1,True,True,"UN0058_SW_Union Bank Wharf Road, Apapa, Lagos",6064054c7dc8,19965,0,Africa/Lagos,07032913259,,,False,True,1,1,,1,0,1577727624,0,False,generator,
453,43200,1,True,True,"UN0059_NC_Union Makurdi Main, Benue",6064054c662a,19965,0,UTC,,,,False,True,0,0,,1,0,1567706986,0,False,generator,
454,42903,0,True,False,"UN0060_SW_Union Akure Market, Akure, Ondo",9884e38d0721,19965,0,Africa/Lagos,0807,,,False,True,1,1,,1,0,1567357396,0,False,generator,
455,40992,1,True,True,"UN0061_NW_Kaduna South, Kaduna",6064054ce679,19965,0,UTC,,,,False,True,0,0,,1,0,1564648800,0,False,generator,
456,41554,0,True,False,"UN0062_SW_Union Ota, Ogun",9884e396925e,19965,0,UTC,,,,False,True,1,1,,1,0,1565449185,0,False,generator,
457,43842,1,True,True,"UN0063_SE_Union Bank Abakaliki, Ebonyi",6064050e1826,19965,0,Africa/Lagos,09012112048,,,False,True,1,1,,1,0,1568489496,0,False,solar,
458,41425,1,True,True,"UN0064_SE_Union Okpara Avenue, Enugu",9884e38a3493,19965,0,Africa/Lagos,,,,False,True,1,1,,1,0,1565259918,0,False,battery,
459,42894,1,True,True,"UN0065_SE_Union New Market, Anambra",606405501483,19965,0,UTC,,,,False,True,1,1,,1,0,1567347355,0,False,generator,
460,41565,1,True,True,UN0066_SE_Union Bank Okigwe Imo State,6064054ce67c,19965,0,UTC,,,,False,True,1,1,,1,0,1565508987,0,False,battery,
461,41825,1,True,True,"UN0067_SE_ Union Factory Road, Aba",94e36dce4aad,19965,0,Africa/Lagos,09012069235,,,False,True,0,0,,1,0,1565797058,0,False,generator,
462,43120,1,True,True,"UN0068_SS_Union Ughelli, Delta",9884e38d40c3,19965,0,UTC,,,,False,True,0,0,,1,0,1567608562,0,False,battery,
463,44689,1,True,True,"UN0069_SS_Union Bank Uyo Main, Akwa Ibom",9884e39849ad,19965,0,Africa/Lagos,,,,False,True,1,1,300.0,1,0,1569667073,0,False,battery,
464,45194,1,True,True,"UN0072_NE_Union Bank Jalingo, Taraba",6064054c886f,19965,0,Africa/Lagos,,,,False,True,0,0,,1,0,1570276423,0,False,generator,
465,47556,1,True,True,"UN0073_NE_UNion  Bank Bauchi Main, Bauchi, Bauchi",9884e39bdc97,19965,0,UTC,,,,False,True,0,0,,1,0,1573393127,0,False,solar,
466,44598,1,True,True,"UN0074_SS_Union Bank Abak, Akwa-Ibom",6064054fbde2,19965,0,Africa/Lagos,,,,False,True,0,0,,1,0,1569511923,0,False,solar,
467,41129,1,True,True,"UN0075_SS_Union Effunrun Main, Warri, Delta",6064054fb2ec,19965,0,Africa/Lagos,,,,False,True,1,1,,1,0,1564833079,0,False,solar,
468,39878,1,True,True,"UN0076_SE_Union Bright Street Onitsha, Anambra",9884e396841d,19965,0,UTC,,,,False,True,1,1,,1,0,1563108302,0,False,generator,
469,39213,1,True,True,"UN0077_SE_Union Bank Niger Bridge Head, Onitsha, Anambra",9884e38d0733,19965,0,UTC,,,,False,True,1,1,,1,0,1562080440,0,False,battery,
470,39041,1,True,True,"UN0078_SE_Union Bank Atani Road, Anambra",6064054c6208,19965,0,Africa/Lagos,,,,False,True,0,0,,1,0,1561804582,0,False,battery,
471,41138,1,True,True,"UN0079_SE_Union Nkpor Junction, Anambra",0cb2b7cc5ee3,19965,0,Africa/Lagos,,,,False,True,0,0,,1,0,1564854986,0,False,generator,
472,62556,1,True,True,UN0080_NE_Gombe Gombe,4c3fd33ec46c,19965,0,UTC,,,,False,True,0,0,,1,0,1592126174,0,False,battery,
473,47063,1,True,True,"UN0080_NE_Gombe Main, Gombe (Old)",9884e3967418,19965,0,UTC,,,,False,True,1,1,,1,0,1572794534,0,False,battery,
474,38941,0,True,False,"UN0081_SW_Union Bank, 3rd Avenue, Festac, Lagos",6064054c841d,19965,0,Africa/Lagos,08187133210,,,False,True,1,1,,1,0,1561648938,0,False,solar,
475,41108,1,True,True,"UN0082_SW_Union Bank Creek Road Apapa, Lagos",6064054c8474,19965,0,Africa/Lagos,,,,False,True,1,1,,1,0,1564761804,0,False,generator,
476,47630,1,True,True,UN0083_NE_Maiduguri Main Borno,6064054c722a,19965,0,UTC,,,,False,True,0,0,,1,0,1573503272,0,False,generator,
477,47558,1,True,True,UN0084_NW_Katsina Main,6064054c5e19,19965,0,UTC,,,,False,True,0,0,,1,0,1573395885,0,False,battery,
478,90491,1,True,True,un0085,507224b752ab - USEDASREPLACEMENT,19965,0,UTC,,,,False,True,1,1,,1,0,1609166756,0,False,solar,
479,40411,1,True,True,"UN0085_SS_ Union Airport Road Warri, Delta",507224b752ab,19965,0,Africa/Lagos,09065770083,,,False,True,0,0,,1,0,1563889277,0,False,battery,
480,41176,1,True,True,"UN0086_SS_Union Akpakpava Main, Benin, Edo",6064054cc00c,19965,0,Africa/Lagos,,,,False,True,1,1,,1,0,1564983549,0,False,battery,
481,42021,0,True,False,"UN0087_SS_Union Ikwerre Road, Port Harcourt, Rivers",60640527a3a4,19965,0,Africa/Lagos,,,,False,True,0,0,,1,0,1566136275,0,False,generator,
482,42920,1,True,True,"UN0088_SW_Union Bank Aspamda, Trade Fair, Lagos",9884e38cfe4c,19965,0,Africa/Lagos,,,,False,True,1,1,,1,0,1567407066,0,False,grid,
483,42667,1,True,True,"UN0089_SW_Union  Bank Bariga, Lagos",6064054c6666,19965,0,UTC,,,,False,True,0,0,,1,0,1566994469,0,False,battery,
484,43703,1,True,True,"UN0090_SE_Union Bank Aboh Mbaise, Imo",6064054ff268,19965,0,Africa/Lagos,,,,False,True,0,0,,1,0,1568301326,0,False,generator,
485,44747,0,True,False,"UN0091_SE_Union Bank Agbani, Enugu",6064054c6244,19965,0,UTC,08169109395,,,False,True,0,0,,1,0,1569822948,0,False,battery,
486,43874,0,True,False,"UN0092_SE_Union Bank 9th Mile, Enugu",9884e38d314f,19965,0,UTC,08133522463,,,False,True,0,0,,1,0,1568616427,0,False,battery,
487,43404,1,True,True,"UN0093_SS_Union Bank Ogoja, Cross River",9884e3968453,19965,0,UTC,,,,False,True,0,0,,1,0,1568031712,0,False,solar,
488,43528,1,True,True,UN0094_SW_UNION SAGAMU,6064054fb849,19965,0,UTC,08149834974,,,False,True,1,1,,1,0,1568133117,0,False,grid,
489,43417,1,True,True,"UN0095_SE_Union Bank Abagana, Anambra",9884e398498f,19965,0,Africa/Lagos,,,,False,True,0,0,,1,0,1568038000,0,False,generator,
490,46111,0,True,False,"UN0096_SW_Union Bank Agodi Gate, Ibadan, Oyo",9884e3968459,19965,0,Africa/Lagos,,,,False,True,1,1,,1,0,1571406334,0,False,battery,
491,48058,0,True,False,"UN0098_SW_Ode-Irele, Okitipupa, Ondo",9884e3964505,19965,0,Africa/Lagos,07032913259,,,False,True,1,1,,1,0,1574061585,0,False,solar,
492,48095,1,True,True,"UN0100_SE_Union Bank Ohafia, Abia",507224b29947,19965,0,UTC,,,,False,True,0,0,,1,0,1574095000,0,False,battery,
493,46931,1,True,True,UN0101_SW_UNION IKOTUN-EGBE,e8eb11e3c7fc,19965,0,UTC,08032464130,,,False,True,0,0,,1,0,1572544172,0,False,grid,
494,44238,0,True,False,"UN0103_SW_Union Bank Allen, Ikeja, Lagos",9884e3b3e0a6,19965,0,Africa/Lagos,07032809868,,,False,True,1,1,,1,0,1568990377,0,False,generator,
495,49628,1,True,True,"UN0104_SE_Union Bank Amawbia, Anambra",7c38665ab5b1,19965,0,UTC,,,,False,True,0,0,,1,0,1576000163,0,False,battery,
496,87811,1,True,True,"UN0105_SS_Union Bank Eket, Akwa Ibom",64cfd9909c2a,19965,0,Africa/Lagos,08033215451,,,False,True,0,0,,1,0,1606996965,0,False,battery,
497,98211,1,True,True,UN0109_SS_ Union bank Mission Rd Benin,7c669d4defd0,19965,0,UTC,,,,False,True,0,0,,1,0,1615055208,0,False,generator,
498,94275,1,True,True,UN0110_NE_Yola Main Branch Adamawa,1cba8cd59ca7,19965,0,UTC,08036448315,,,False,True,0,0,,1,0,1612370829,0,False,generator,
499,87325,1,True,True,"UN0111_SS_Union Bank 2nd Uyo, Akwa Ibom",1cba8cf6be89,19965,0,Africa/Lagos,08148928047,,,False,True,0,0,,1,0,1606663741,0,False,generator,
500,94027,1,True,True,UN0114_NC_LAFIA JOS ROAD,d0ff5039d4ce,19965,0,UTC,,,,False,True,0,0,,1,0,1612255794,0,False,battery,
