year.totals.Pb,year.totals.Pc,year.totals.Bc,year.totals.gc,year.totals.gb,year.totals.dH21,year.totals.dH22,year.totals.Gc,year.totals.Gb,year.totals.Pg,year.percentages.Pb,year.percentages.Pc,year.percentages.Bc,year.percentages.gc,year.percentages.gb,year.percentages.dH21,year.percentages.dH22,year.percentages.Gc,year.percentages.Gb,year.percentages.Pg,month.totals.Pb,month.totals.Pc,month.totals.Bc,month.totals.gc,month.totals.gb,month.totals.dH21,month.totals.dH22,month.totals.Gc,month.totals.Gb,month.totals.Pg,month.percentages.Pb,month.percentages.Pc,month.percentages.Bc,month.percentages.gc,month.percentages.gb,month.percentages.dH21,month.percentages.dH22,month.percentages.Gc,month.percentages.Gb,month.percentages.Pg,week.totals.Pb,week.totals.Pc,week.totals.Bc,week.totals.gc,week.totals.gb,week.totals.dH21,week.totals.dH22,week.totals.Gc,week.totals.Gb,week.totals.Pg,week.percentages.Pb,week.percentages.Pc,week.percentages.Bc,week.percentages.gc,week.percentages.gb,week.percentages.dH21,week.percentages.dH22,week.percentages.Gc,week.percentages.Gb,week.percentages.Pg,today.totals.Pb,today.totals.Pc,today.totals.Bc,today.totals.gc,today.totals.gb,today.totals.dH21,today.totals.dH22,today.totals.Gc,today.totals.Gb,today.totals.Pg,today.percentages.Pb,today.percentages.Pc,today.percentages.Bc,today.percentages.gc,today.percentages.gb,today.percentages.dH21,today.percentages.dH22,today.percentages.Gc,today.percentages.Gb,today.percentages.Pg,Site Name
7741.385932266712,14454.685709230602,14921.154600821435,17824.07197992131,9797.293671563268,14888.876953125,17294.7421875,0.0,0.0,0.0,8,15,15,18,10,15,18,0,0,0,754.6484375,1299.07421875,1356.2890625,1803.7586834430695,728.25,1356.2890625,1480.8828125,0.0,0.0,0.0,9,15,15,21,8,15,17,0,0,0,180.07421875,245.125,319.578125,571.9153213500977,166.546875,319.578125,345.51171875,0.0,0.0,0.0,8,11,15,27,8,15,16,0,0,0,27.39453125,40.5625,56.1015625,109.5341796875,31.5,56.1015625,58.5625,0.0,0.0,0.0,7,11,15,29,8,15,15,0,0,0,"AB0001_SW_Access Bank Surulere, Lagos"
2271.5176028934075,7120.292512259504,3417.430199380964,2390.9899182356894,1783.7806920707226,1834.7998944222927,2053.9701288938522,444.17929960100446,698.8079969604732,149.71505399793386,10,32,15,11,8,8,9,2,3,1,958.5491953669116,3315.460621445207,1506.4147043898702,572.347735106945,456.0577539354563,774.08984375,881.5101318359375,444.17929960100446,698.8079969604732,149.71505399793386,10,34,15,6,5,8,9,5,7,2,191.52814654633403,785.4317900780588,379.63683342933655,3.76831978559494,1.0376533418893814,179.97998046875,209.3701171875,242.95925083616748,343.17692610214,79.55512655712664,8,33,16,0,0,7,9,10,14,3,30.4507977925241,151.35570360720158,62.6219482421875,0.0,0.0,31.550048828125,35.1900634765625,35.412120232824236,53.63393436791375,1.1650848388671875,8,38,16,0,0,8,9,9,13,0,"AB0003_SS_Access Bank Warri-Sapele Road, Warri, Delta"
2957.816331137903,12724.273216634465,7727.960872288793,5628.577715242282,6708.79271261394,1310.0099514722824,1918.8300060033798,214.95808601379395,452.67170906066895,15.728638648986816,7,32,19,14,17,3,5,1,1,0,662.5122485347092,3150.704237246886,1526.9637451171875,1338.864013671875,1373.652587890625,294.5999755859375,357.760009765625,0.0,0.0,0.0,8,36,18,15,16,3,4,0,0,0,157.8502197265625,734.7435640841722,367.6917724609375,354.058349609375,334.051513671875,63.1199951171875,81.9599609375,0.0,0.0,0.0,8,35,18,17,16,3,4,0,0,0,26.621826171875,123.10177746415138,46.6666259765625,43.435791015625,41.451171875,8.5999755859375,11.2900390625,0.0,0.0,0.0,9,41,15,14,14,3,4,0,0,0,"AB0004_SS_ Access Bank Udu Road, Warri, Delta"
1163.570271641016,9144.419776090828,1719.2599316388369,3515.9604254793376,223.86335133761168,1719.2599316388369,2022.230041489005,6997.651359120384,504.2934889793396,702.363906968385,4,33,6,13,1,6,7,25,2,3,329.20079469680786,4835.606539318338,581.7698974609375,937.8326139450073,64.43532752990723,581.7698974609375,717.1700439453125,4367.2171999663115,324.04579305648804,340.4413452744484,3,37,4,7,0,4,5,33,2,3,38.36956787109375,1143.431225914508,109.8699951171875,128.27987670898438,10.580078125,109.8699951171875,144.080078125,1241.1151123046875,96.0247802734375,136.53334045410156,1,36,3,4,0,3,5,39,3,4,9.77001953125,185.2838608622551,29.3699951171875,41.47920227050781,5.6700439453125,29.3699951171875,35.2301025390625,180.7139892578125,20.0,0.855621337890625,2,34,5,8,1,5,7,34,4,0,AB0005_SW_Access bank Ajao Estate
1408.8567753415555,6903.148385867418,6066.438153253868,6873.1972637325525,6266.315638422966,4677.4500732421875,5060.369720458984,0.0,0.0,0.0,4,19,16,18,17,13,14,0,0,0,102.68697238247842,898.3524071183056,846.784912109375,1101.95166015625,969.27734375,698.64990234375,751.8701171875,0.0,0.0,0.0,2,17,16,21,18,13,14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,AB0008_SS_Access bank East west road PH
975.7139429450035,17844.707371484023,8768.055677577853,14515.569970227778,6647.359533831477,4622.220292977989,4395.83093687892,984.1953385658562,619.0663720071316,151.27892918512225,2,30,15,24,11,8,7,2,1,0,193.14110469818115,3759.7726695882156,1724.39990234375,1825.8147234246135,888.300544694066,862.199951171875,773.111083984375,741.2117088008672,470.7996497154236,82.77560658380389,2,33,15,16,8,8,7,7,4,1,45.56306076049805,788.0984741263092,386.3994140625,427.02327274531126,188.4623250514269,193.19970703125,181.54052734375,289.145235972479,131.2172115445137,28.799429781734943,2,30,15,16,7,7,7,11,5,1,3.830078125,130.08946084417403,64.3603515625,59.58796143531799,26.503470420837402,32.18017578125,24.51025390625,24.473162673413754,18.6895751953125,0.49151998199522495,1,34,17,15,7,8,6,6,5,0,AB0009_SW_Access Bank Badagry
1753.626596942544,4238.322877264931,3256.7801065500826,4326.06777523458,1840.014237985015,840.2300146818161,969.2600757181644,1594.016181692481,947.632342018187,55.760211611166596,9,21,16,22,9,4,5,8,5,0,604.8623371720314,1985.8825460840017,1418.5417011529207,2671.5569111406803,1037.2528570890427,652.1500244140625,726.1800537109375,581.377121925354,341.04205794632435,39.81311768293381,6,20,14,27,10,6,7,6,3,0,49.21874412987381,710.5058153523132,380.7846374511719,942.2256469726562,351.10914611816406,156.4600830078125,195.8800048828125,246.92507934570312,164.67739868164062,1.893262267112732,2,22,12,29,11,5,6,8,5,0,6.370302231051028,124.68774741329253,77.40811157226562,86.87158203125,32.31292724609375,29.3499755859375,38.050048828125,66.68289184570312,74.21951293945312,1.8750578165054321,1,23,14,16,6,5,7,12,14,0,"AB0012_SE_Access bank Wetheral,Imo state"
2654.29164943099,21965.6134515531,4545.338704735041,10989.235895872116,2400.676898151636,4544.980002433062,5064.8904495462775,71.33418118953705,8.666154563426971,18.16803550720215,5,42,9,21,5,9,10,0,0,0,471.43115234375,4792.6793826064095,1108.33984375,3032.049072265625,763.9078979492188,1108.33984375,1234.080078125,0.0,0.0,0.0,4,38,9,24,6,9,10,0,0,0,113.94091796875,1199.9895351361483,268.06005859375,713.36962890625,173.1195068359375,268.06005859375,286.7998046875,0.0,0.0,0.0,4,40,9,24,6,9,9,0,0,0,13.83984375,197.71069461852312,48.38037109375,109.35546875,28.47021484375,48.38037109375,42.31005859375,0.0,0.0,0.0,3,40,10,22,6,10,9,0,0,0,"AB0013_SW_ACCESS BANK OTA, OGUN STATE"
2268.8196452856064,5015.522060424089,3611.1601788401604,3474.3690049760044,372.13039146363735,3611.1601788401604,4097.270012140274,14649.464114151895,1464.466229006648,0.0,6,13,9,9,1,9,11,38,4,0,479.33087158203125,946.0786743164062,733.250244140625,572.6491876244545,43.29034423828125,733.250244140625,843.580078125,3528.943814396858,322.0201416015625,0.0,6,12,9,7,1,9,10,43,4,0,100.1605224609375,135.94970703125,150.070068359375,92.46950054168701,7.280029296875,150.070068359375,174.070068359375,1007.7893869876862,66.949951171875,0.0,5,7,8,5,0,8,9,53,4,0,11.909912109375,14.4000244140625,23.7099609375,0.0,0.0,23.7099609375,27.1201171875,162.48336791992188,15.250244140625,0.0,4,5,9,0,0,9,10,58,5,0,AB0014_SW_Access Bank Ile Ife
1286.6576869636774,3004.553151242435,5466.453125,3306.929433727637,4328.402961969376,5466.453125,5955.390625,0.0,0.0,0.0,4,10,19,11,15,19,21,0,0,0,387.580810546875,2113.927398890257,2008.265625,1411.512040996924,1647.1333277225494,2008.265625,2118.2421875,0.0,0.0,0.0,3,18,17,12,14,17,18,0,0,0,84.2841796875,482.1418010741472,497.7734375,375.7993897795677,425.81494140625,497.7734375,529.7421875,0.0,0.0,0.0,3,17,17,13,15,17,18,0,0,0,3.520263671875,87.12173686921597,74.5078125,49.88279724121094,64.768798828125,74.5078125,68.2890625,0.0,0.0,0.0,1,21,18,12,15,18,16,0,0,0,"Access bank Seme border, AB0002"
